OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Acetaldehyde,1150,ml,0,1150,550,600,ml,250,850,150,700,ml,650,ml,,ml,,,650,0,ml,1000,0,ml,,,0,0,ml,undelivered,1000,ml,0,ml,,,0,0,ml,300,300,ml,2/29/2024,DR:300,0,800,ml,0,0,ml ,,,200,600,ml ,0,ml 
Acetic acid,2000,ml,1000,3000,500,2500,ml,0,2500,0,2500,ml,4225,ml,,,,,225,4000,ml,0,0,ml,,,1100,2900,ml,,0,ml,0,ml,,,2850,50,ml,1000,1000,ml,1/9/2024,DR:2113,850,900,ml,0,2000,ml ,7/9/2024,DR: 25215 SI: 23073,1900,1000,ml ,0,ml 
Acetic anhydride,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,undelivered,1000,ml,0,ml,,,0,0,ml,2000,0,ml,,,0,0,ml,2000,500,ml ,10/15/2024; 11/19/2024,DR: 3452/SI: 5482,0,500,ml ,0,ml 
Acetone,3000,ml,4000,7000,3000,4000,ml,2000,6000,6000,0,ml,5000,ml,,,,,350,4650,ml,0,0,ml,,,2650,2000,ml,,0,ml,0,ml,,,1950,50,ml,1000,0,ml,,,0,0,ml,1000,1000,ml ,5/31/2024,DR: 25152SI: 22972,1000,0,ml ,1000,ml 
Acetaphenone,0,ml,0,0,0,0,ml,0,0,0,0,ml,1000,ml,,,,,100,900,ml,0,0,ml,,,500,400,ml,,0,ml,0,ml,,,200,200,ml,1000,0,ml,,,300,500,ml,0,0,ml ,,,0,500,ml ,0,ml 
Acetyl chloride,2000,ml,0,2000,1000,1000,ml,0,1000,250,750,ml,500,ml,,,,,100,400,ml,0,0,ml,,,200,200,ml,,1000,ml,100,ml,8/30/2023,DR: 2479,200,100,ml,0,0,ml,,,0,0,ml,1000,1000,ml ,05/31/2024  / 07/16/2024,DR: 25152 SI: 229272,0,1000,ml ,0,ml 
Almond oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ml,500,1000,ml ,10/15/2024; 11/19/2024,DR:3452 SI:5482,500,0,ml ,0,ml 
Ammonia / Ammonium Hydroxide ,2000,ml,1000,3000,200,2800,ml,0,2800,800,2000,ml,1450,ml,,,,,150,1300,ml,0,0,ml,,,1100,200,ml,,0,ml,0,ml,,,0,200,ml,2500,0,ml,,,0,10,L,0,0,ml ,,,2,8,L,0,L
Ammonium bromide,2000,ml,0,2000,0,2000,ml,0,2000,200,1800,ml,950,ml,,,,,50,900,ml,0,0,ml,,,300,600,ml,,0,ml,0,ml,,,300,300,ml,0,0,ml,,,700,1000,ml,0,0,ml,,,0,1000,ml ,0,ml 
Ammonium sulfide,3000,ml,0,3000,0,3000,ml,0,3000,1300,1700,ml,1400,ml,,,,,400,1000,ml,0,0,ml,,,900,100,ml,,500,ml,500,ml,8/30/2023,DR: 2479,100,500,ml,0,0,ml,,,1000,1500,ml,0,0,ml,,,0,1500,ml ,0,ml 
